2026-02-21 15:44:00.349 +08:00 [DBG] 程式開始
2026-02-21 15:45:42.186 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:48:04.876 +08:00 [DBG] 程式開始
2026-02-21 15:48:10.098 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:48:43.740 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:48:43.784 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:48:43.842 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:48:43.874 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:48:45.794 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:48:45.993 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:48:53.894 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:48:53.924 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:49:03.945 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:49:03.979 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:49:11.246 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:49:11.324 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:49:14.000 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:49:14.031 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:49:24.051 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:49:24.081 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:52:03.195 +08:00 [DBG] 程式開始
2026-02-21 15:52:16.208 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:52:16.342 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:52:16.402 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:52:16.431 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:52:19.061 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:52:19.255 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:52:26.452 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:52:26.481 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:52:36.504 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:52:36.534 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:52:46.555 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:52:46.585 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:52:56.606 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:52:56.639 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:53:06.660 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:53:06.689 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:53:16.709 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:53:16.738 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:53:26.758 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:53:26.786 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:53:36.808 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:53:36.839 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:53:44.435 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:53:44.465 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:53:46.858 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:53:46.887 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:53:56.906 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:53:56.936 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:54:06.955 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:54:06.986 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:56:03.329 +08:00 [DBG] 程式開始
2026-02-21 15:56:10.833 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:56:10.984 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:56:11.025 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:56:11.054 +08:00 [DBG] 資料庫連線 ok!
2026-02-21 15:56:13.197 +08:00 [DBG] 資料庫連線 ok!
