序號1,序號2,會員號,環號,比賽日期,第一套鴿鐘時間,第二套鴿鐘時間,間隔時間
1,2,0239,16,2026-03-22,2026-03-22 11:45:50,2026-03-22 11:46:47,0:56
2,2,0858,91,2026-03-22,2026-03-22 11:48:47,2026-03-22 11:49:41,0:54
3,2,0383,64,2026-03-22,2026-03-22 11:52:08,2026-03-22 11:53:17,1:9
4,2,0331,10,2026-03-22,2026-03-22 11:59:24,2026-03-22 11:59:28,0:3
5,3,0858,99,2026-03-22,2026-03-22 12:01:07,2026-03-22 12:01:57,0:50
6,2,0685,25,2026-03-22,2026-03-22 12:01:26,2026-03-22 12:03:27,2:1
7,2,0425,28,2026-03-22,2026-03-22 12:01:37,2026-03-22 12:02:22,0:45
8,2,0337,49,2026-03-22,2026-03-22 12:03:19,2026-03-22 12:05:26,2:6
9,2,0116,71,2026-03-22,2026-03-22 12:04:49,2026-03-22 12:05:09,0:20
10,4,0858,89,2026-03-22,2026-03-22 12:05:46,2026-03-22 12:06:48,1:2
11,3,0116,93,2026-03-22,2026-03-22 12:05:48,2026-03-22 12:06:07,0:18
12,2,0986,76,2026-03-22,2026-03-22 12:06:01,2026-03-22 12:07:59,1:58
13,3,0337,50,2026-03-22,2026-03-22 12:08:42,2026-03-22 12:09:23,0:40
14,3,0986,69,2026-03-22,2026-03-22 12:09:48,2026-03-22 12:10:42,0:54
15,2,0262,80,2026-03-22,2026-03-22 12:10:02,2026-03-22 12:11:50,1:48
16,2,0026,44,2026-03-22,2026-03-22 12:10:40,2026-03-22 12:11:26,0:45
17,4,0116,92,2026-03-22,2026-03-22 12:10:58,2026-03-22 12:11:27,0:29
18,2,0127,06,2026-03-22,2026-03-22 12:11:29,2026-03-22 12:11:52,0:22
19,2,0589,86,2026-03-22,2026-03-22 12:11:31,2026-03-22 12:12:08,0:37
20,2,0181,06,2026-03-22,2026-03-22 12:11:45,2026-03-22 12:13:26,1:40
24,2,0528,74,2026-03-22,2026-03-22 12:12:13,2026-03-22 12:14:39,2:25
25,3,0383,58,2026-03-22,2026-03-22 12:12:14,2026-03-22 12:13:31,1:17
26,2,0612,09,2026-03-22,2026-03-22 12:12:20,2026-03-22 12:14:02,1:41
27,2,0969,51,2026-03-22,2026-03-22 12:12:29,2026-03-22 12:13:13,0:44
29,4,0383,75,2026-03-22,2026-03-22 12:12:56,2026-03-22 12:14:04,1:8
31,3,0026,22,2026-03-22,2026-03-22 12:13:10,2026-03-22 12:14:09,0:58
32,2,0003,89,2026-03-22,2026-03-22 12:13:31,2026-03-22 12:16:52,3:21
33,3,0262,88,2026-03-22,2026-03-22 12:13:33,2026-03-22 12:15:31,1:58
34,2,0023,86,2026-03-22,2026-03-22 12:13:37,2026-03-22 12:15:29,1:51
35,3,0239,29,2026-03-22,2026-03-22 12:13:56,2026-03-22 12:14:43,0:47
36,2,0899,21,2026-03-22,2026-03-22 12:13:56,2026-03-22 12:17:00,3:3
37,2,0380,61,2026-03-22,2026-03-22 12:14:17,2026-03-22 12:14:46,0:28
38,2,0126,08,2026-03-22,2026-03-22 12:14:29,2026-03-22 12:15:11,0:42
39,4,0986,77,2026-03-22,2026-03-22 12:14:34,2026-03-22 12:15:30,0:56
41,3,0899,25,2026-03-22,2026-03-22 12:15:28,2026-03-22 12:17:31,2:2
42,2,0234,76,2026-03-22,2026-03-22 12:15:56,2026-03-22 12:17:05,1:8
43,3,0023,70,2026-03-22,2026-03-22 12:16:02,2026-03-22 12:17:23,1:20
44,3,0380,60,2026-03-22,2026-03-22 12:16:39,2026-03-22 12:17:39,0:59
45,2,0359,12,2026-03-22,2026-03-22 12:16:48,2026-03-22 12:18:03,1:14
47,3,0003,93,2026-03-22,2026-03-22 12:16:56,2026-03-22 12:18:29,1:33
48,2,0376,27,2026-03-22,2026-03-22 12:16:58,2026-03-22 12:18:02,1:3
49,3,0589,85,2026-03-22,2026-03-22 12:17:06,2026-03-22 12:17:40,0:33
50,4,0003,33,2026-03-22,2026-03-22 12:17:33,2026-03-22 12:19:06,1:33
51,4,0337,33,2026-03-22,2026-03-22 12:17:50,2026-03-22 12:20:02,2:12
53,2,0525,97,2026-03-22,2026-03-22 12:18:27,2026-03-22 12:19:24,0:56
54,3,0528,72,2026-03-22,2026-03-22 12:18:36,2026-03-22 12:20:35,1:58
56,4,0023,66,2026-03-22,2026-03-22 12:19:21,2026-03-22 12:20:30,1:9
61,3,0525,51,2026-03-22,2026-03-22 12:20:33,2026-03-22 12:21:12,0:38
62,2,0366,06,2026-03-22,2026-03-22 12:20:51,2026-03-22 12:24:50,3:59
63,3,0181,10,2026-03-22,2026-03-22 12:21:04,2026-03-22 12:21:49,0:45
64,2,0661,07,2026-03-22,2026-03-22 12:21:07,2026-03-22 12:21:21,0:14
65,3,0331,01,2026-03-22,2026-03-22 12:21:12,2026-03-22 12:21:34,0:21
66,3,0969,56,2026-03-22,2026-03-22 12:21:14,2026-03-22 12:22:13,0:58
67,4,0380,57,2026-03-22,2026-03-22 12:21:27,2026-03-22 12:21:56,0:28
69,3,0126,16,2026-03-22,2026-03-22 12:21:33,2026-03-22 12:22:37,1:3
70,4,0126,07,2026-03-22,2026-03-22 12:21:40,2026-03-22 12:22:34,0:54
71,4,0026,17,2026-03-22,2026-03-22 12:21:51,2026-03-22 12:22:51,0:59
72,4,0239,22,2026-03-22,2026-03-22 12:21:56,2026-03-22 12:22:28,0:32
73,4,0899,07,2026-03-22,2026-03-22 12:22:23,2026-03-22 12:25:34,3:10
74,4,0331,65,2026-03-22,2026-03-22 12:22:29,2026-03-22 12:23:07,0:37
75,4,0525,98,2026-03-22,2026-03-22 12:22:37,2026-03-22 12:23:13,0:35
76,3,0127,04,2026-03-22,2026-03-22 12:22:38,2026-03-22 12:23:01,0:22
77,4,0589,84,2026-03-22,2026-03-22 12:22:39,2026-03-22 12:23:13,0:34
79,4,0969,57,2026-03-22,2026-03-22 12:23:21,2026-03-22 12:24:06,0:44
87,3,0612,10,2026-03-22,2026-03-22 12:26:10,2026-03-22 12:27:00,0:49
