2026-04-12 12:06:25.007 +08:00 [DBG] 程式開始
2026-04-12 12:06:36.317 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:06:36.432 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:06:36.509 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:06:36.698 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:06:37.375 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:06:39.704 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:06:39.740 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:06:40.374 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:06:40.417 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:06:47.406 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:06:48.078 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:06:58.113 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:06:58.778 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:07:08.801 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:07:09.463 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:07:14.393 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:07:14.426 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:07:19.487 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:07:20.152 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:07:27.244 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:07:27.278 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 12:07:30.173 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:09:28.426 +08:00 [DBG] 程式開始
2026-04-12 13:09:36.199 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:09:36.313 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:09:36.357 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:09:36.387 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:09:38.021 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:09:38.235 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:09:46.409 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:09:46.438 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:09:49.233 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:09:49.267 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:09:56.458 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:09:56.487 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:10:06.511 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:10:06.540 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:10:13.535 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:10:13.566 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:10:16.565 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:10:16.593 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:10:26.613 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:10:26.641 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:10:36.667 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:10:36.697 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:10:46.730 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:10:46.758 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:10:56.787 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:10:56.816 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:11:06.838 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:11:06.866 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:11:16.893 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:11:16.921 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:11:26.962 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:11:27.011 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:11:37.032 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:11:37.062 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:11:47.089 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:11:47.116 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:11:57.146 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:11:57.174 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:12:07.206 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:12:07.235 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:12:17.262 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:12:17.292 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:12:27.324 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:12:27.360 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:12:37.392 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:12:37.421 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:12:47.454 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:12:47.482 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:12:57.514 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:12:57.545 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:13:07.571 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:13:07.599 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:13:17.631 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:13:17.660 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:13:27.688 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:13:27.717 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:13:37.748 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:13:37.776 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:13:47.809 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:13:47.838 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:13:57.871 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:13:57.898 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:14:07.929 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:14:07.957 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:14:17.983 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:14:18.012 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:14:28.035 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:14:28.063 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:14:38.094 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:14:38.123 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:14:48.156 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:14:48.202 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:14:58.229 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:14:58.260 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:15:08.289 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:15:08.321 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:15:18.348 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:15:18.382 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:15:28.411 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:15:28.440 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:15:38.469 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:15:38.516 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:15:48.539 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:15:48.567 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:15:58.592 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:15:58.621 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:16:08.649 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:16:08.678 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:16:18.707 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:16:18.737 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:16:28.760 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:16:28.789 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:16:38.819 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:16:38.849 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:16:48.875 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:16:48.903 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:16:58.938 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:16:58.980 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:17:09.014 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:17:09.042 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:17:19.076 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:17:19.104 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:17:29.133 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:17:29.162 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:17:39.198 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:17:39.227 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:17:49.258 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:17:49.287 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:17:59.314 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:17:59.342 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:18:09.364 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:18:09.392 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:18:19.413 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:18:19.440 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:18:29.473 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:18:29.500 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:18:39.521 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:18:39.553 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:18:49.576 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:18:49.605 +08:00 [DBG] 資料庫連線 ok!
2026-04-12 13:18:59.626 +08:00 [DBG] 資料庫連線 ok!
