序號1,序號2,會員號,環號,比賽日期,第一套鴿鐘時間,第二套鴿鐘時間
1,1,0899,03,2026-02-25,2026-02-25 08:16:28,
2,1,0026,18,2026-02-25,2026-02-25 08:30:26,
3,2,0026,27,2026-02-25,2026-02-25 08:30:27,
4,3,0026,37,2026-02-25,2026-02-25 08:34:44,
14,1,0383,64,2026-02-25,2026-02-25 08:53:14,
15,2,0383,66,2026-02-25,2026-02-25 08:53:15,
16,3,0383,73,2026-02-25,2026-02-25 08:53:17,
20,1,0239,16,2026-02-25,2026-02-25 08:54:33,
24,1,0262,86,2026-02-25,2026-02-25 08:56:32,
27,1,0234,76,2026-02-25,2026-02-25 08:58:11,
28,2,0262,81,2026-02-25,2026-02-25 08:58:53,
33,2,0239,34,2026-02-25,2026-02-25 09:00:35,
34,2,0234,69,2026-02-25,2026-02-25 09:00:54,
40,3,0234,70,2026-02-25,2026-02-25 09:03:25,
43,1,0559,49,2026-02-25,2026-02-25 09:04:22,
46,3,0262,88,2026-02-25,2026-02-25 09:05:24,
47,1,0003,37,2026-02-25,2026-02-25 09:05:55,
48,1,0528,88,2026-02-25,2026-02-25 09:06:10,
49,2,0528,77,2026-02-25,2026-02-25 09:06:12,
50,3,0239,24,2026-02-25,2026-02-25 09:06:24,
52,1,0337,48,2026-02-25,2026-02-25 09:06:41,
53,2,0337,39,2026-02-25,2026-02-25 09:07:02,
54,2,0003,93,2026-02-25,2026-02-25 09:07:24,
56,3,0337,25,2026-02-25,2026-02-25 09:08:45,
57,3,0528,84,2026-02-25,2026-02-25 09:09:07,
58,1,0661,37,2026-02-25,2026-02-25 09:09:43,
60,3,0003,89,2026-02-25,2026-02-25 09:10:08,
66,1,0127,12,2026-02-25,2026-02-25 09:11:44,
68,2,0127,17,2026-02-25,2026-02-25 09:13:20,
70,3,0127,10,2026-02-25,2026-02-25 09:13:24,
76,2,0661,13,2026-02-25,2026-02-25 09:13:53,
77,2,0559,53,2026-02-25,2026-02-25 09:14:59,
86,3,0661,39,2026-02-25,2026-02-25 09:16:27,
87,3,0559,48,2026-02-25,2026-02-25 09:16:43,
148,1,0366,08,2026-02-25,2026-02-25 09:39:40,
149,2,0366,04,2026-02-25,2026-02-25 09:40:17,
151,1,0008,12,2026-02-25,2026-02-25 09:41:06,
152,1,0589,86,2026-02-25,2026-02-25 09:41:07,
153,2,0008,13,2026-02-25,2026-02-25 09:41:27,
154,1,0126,17,2026-02-25,2026-02-25 09:41:36,
156,1,0160,42,2026-02-25,2026-02-25 09:42:10,
157,2,0160,43,2026-02-25,2026-02-25 09:42:12,
158,3,0160,44,2026-02-25,2026-02-25 09:42:13,
159,2,0126,21,2026-02-25,2026-02-25 09:42:18,
163,1,0525,95,2026-02-25,2026-02-25 09:42:53,
164,3,0008,01,2026-02-25,2026-02-25 09:42:56,
169,1,0331,14,2026-02-25,2026-02-25 09:44:14,
170,2,0525,92,2026-02-25,2026-02-25 09:44:25,
171,1,0023,73,2026-02-25,2026-02-25 09:44:41,
172,2,0023,90,2026-02-25,2026-02-25 09:44:45,
173,3,0525,54,2026-02-25,2026-02-25 09:44:46,
176,3,0366,07,2026-02-25,2026-02-25 09:44:48,
179,1,0986,70,2026-02-25,2026-02-25 09:44:51,
180,2,0986,73,2026-02-25,2026-02-25 09:44:51,
182,2,0331,06,2026-02-25,2026-02-25 09:45:08,
186,2,0589,96,2026-02-25,2026-02-25 09:45:33,
187,3,0331,03,2026-02-25,2026-02-25 09:45:37,
191,3,0589,85,2026-02-25,2026-02-25 09:45:50,
192,3,0986,69,2026-02-25,2026-02-25 09:45:52,
193,3,0126,11,2026-02-25,2026-02-25 09:45:53,
201,3,0023,66,2026-02-25,2026-02-25 09:46:58,
217,1,0376,37,2026-02-25,2026-02-25 09:49:38,
230,2,0376,33,2026-02-25,2026-02-25 09:51:07,
235,1,0116,92,2026-02-25,2026-02-25 09:51:40,
243,1,0262,84,2026-02-25,2026-02-25 09:52:17,
246,2,0116,71,2026-02-25,2026-02-25 09:52:39,
249,3,0116,66,2026-02-25,2026-02-25 09:52:43,
